type,title,director,cast,release_year,rating,listed_in
0,2662,47,1212,2010,0,391
0,298,1066,2478,2013,3,0
1,5,1066,2970,2019,3,181
0,5585,1028,3090,2018,3,80
0,2504,693,918,2021,3,49
1,1916,1066,1362,2021,3,111
0,6578,1825,5063,2021,3,275
0,6608,1350,5440,2021,3,357
0,146,2470,1362,2012,1,439
0,2187,387,122,2018,3,184
0,4363,1461,3494,2018,3,233
0,3091,2414,2337,2006,3,191
0,1129,252,2021,2018,0,226
0,4906,4257,5670,2016,3,400
0,5642,1479,1362,2020,1,314
0,6366,3354,3890,2020,0,447
0,2675,4228,2888,2019,3,81
0,3594,2414,3178,2010,3,191
1,916,1066,3755,2009,1,128
1,6218,1066,5249,2016,2,49
0,4201,2254,4747,2014,3,314
0,4406,3981,5299,2008,0,27
1,1417,1066,2933,2008,1,18
0,6689,2127,2569,2019,0,1
0,5235,3309,4399,2019,3,291
0,4404,1066,1457,2020,1,439
0,2627,1338,5130,2019,3,275
0,4004,2011,5131,2020,3,314
0,4341,1604,393,2018,1,414
0,4375,3432,4316,2019,3,49
0,5924,3394,1210,2020,3,447
0,4314,620,1878,2016,1,414
1,2956,1066,1362,2019,3,314
0,4650,4206,654,2014,3,422
0,3537,2754,1362,2013,1,414
0,220,3919,1362,2013,3,275
0,4761,2411,2144,2016,3,86
0,1351,1192,921,2019,1,275
0,693,3984,3634,2015,0,226
0,252,3768,5011,2012,3,330
0,930,1345,456,2018,3,106
1,1829,1066,3617,2020,1,414
0,4764,280,3729,2021,3,364
1,1387,1066,978,2019,3,182
1,1299,1066,871,2020,3,271
0,5670,540,945,2019,3,226
0,3779,1434,4261,2019,3,61
0,4228,1730,3837,2011,3,191
0,5032,2088,2076,2014,3,430
1,1761,1066,2923,2021,3,314
0,738,2296,3096,2016,3,61
0,6006,2697,3284,2015,3,350
0,6873,3688,4680,2019,3,360
0,3352,119,227,2019,3,0
1,2309,1066,750,2021,0,220
0,5437,4186,4876,2020,2,36
0,3320,73,1664,2021,3,400
0,6422,1206,3233,2021,3,337
0,4342,1604,392,2019,3,414
0,705,4046,1439,2013,0,86
0,2550,3075,4190,2017,3,233
1,5768,1066,1362,2019,0,449
0,1272,2497,1362,2006,2,6
0,5166,1002,1969,2019,0,314
0,1424,583,1050,2020,3,194
0,3243,560,523,2020,3,275
0,2228,283,307,2019,3,337
0,4305,3265,1362,2019,1,414
1,3640,1066,5654,2020,3,357
0,3026,3503,5307,2016,3,128
0,6659,2339,2162,2020,3,391
0,6336,738,3665,2011,2,447
0,5226,2400,1362,2021,3,0
0,4073,3181,5492,2014,1,220
0,4529,4118,4264,2020,3,86
0,53,1066,3264,2019,1,386
0,469,953,3527,2021,3,431
0,2269,1066,1362,2016,1,414
1,4044,1066,1362,2018,1,255
0,1371,2204,4560,2019,1,337
0,5432,1602,19,2016,2,319
0,2673,3612,1871,2018,3,364
0,4484,1264,5144,2007,3,0
0,5845,19,3181,2013,3,439
0,5567,590,1362,2019,3,132
1,1124,1066,3775,2020,3,314
0,1571,3015,1985,2021,3,400
0,2833,883,2849,2021,3,447
0,3335,1873,4534,2014,0,33
0,2323,3728,1159,2006,3,357
1,5945,1066,5510,2017,2,449
1,3678,1066,1362,2017,2,23
0,4512,128,4042,2012,3,305
1,6381,1066,4066,2005,2,63
0,3190,3982,5044,2021,3,0
0,5615,829,4684,2020,3,435
1,2829,1066,1251,2018,2,281
0,2335,2395,3278,2008,1,220
0,1804,260,844,2017,3,334
0,6770,2470,1362,2014,1,439
0,56,1066,3264,2017,1,386
0,583,4064,5445,2021,3,61
1,2546,1066,4889,2016,3,414
1,959,1066,2384,2012,3,284
1,6378,1066,2220,2014,3,449
0,3205,1433,2753,2016,3,393
1,3397,1066,4838,2019,3,449
0,4301,1713,2219,2019,3,369
0,5629,1066,4987,2017,1,429
0,4024,360,1362,2019,1,128
0,4910,626,5169,2011,0,369
1,2953,1066,5648,2017,3,104
0,5289,3317,1933,2007,3,305
0,2532,3162,138,2019,3,229
0,7047,1680,2458,2017,3,314
0,2377,1678,303,2017,3,314
0,4150,122,1218,2021,3,0
0,6320,3408,4532,2014,0,154
0,3020,2470,1362,2017,1,305
0,1969,306,1391,2015,2,226
0,766,1103,2151,2017,3,314
0,5254,3633,2945,2019,3,226
0,2972,1259,2690,2013,0,314
0,4661,2755,3179,2021,1,128
0,4412,423,3815,2019,1,357
0,5174,529,3580,2020,2,220
0,2313,1994,1618,2019,1,275
0,5008,4120,3680,2020,3,66
1,5036,1066,4512,2020,3,182
1,7020,1066,1362,2010,1,295
0,5208,2675,2198,2007,3,400
0,5467,544,521,2021,3,400
1,4043,1066,3174,2018,3,226
0,3145,1765,5197,2016,0,220
1,888,1066,995,2021,2,306
0,5270,1530,553,2020,3,250
1,4861,1066,1362,2016,1,414
1,5956,1066,5007,2021,3,80
0,653,1782,5486,2021,3,49
0,2539,4026,61,2021,1,447
0,4068,3522,890,2017,2,285
1,3599,1066,1362,2016,1,414
0,620,968,1266,2020,3,80
0,5220,2850,1630,2018,3,64
0,2136,1733,1076,2019,3,369
0,3168,4129,4172,2016,1,339
1,6691,1066,5671,2008,3,305
0,1356,2983,3283,2020,0,226
1,5530,1066,5582,2020,3,314
0,4383,1238,1354,2018,3,314
0,7063,1561,3825,2018,3,275
0,1379,3113,2463,2020,3,220
0,1045,1995,3132,2016,3,404
1,4593,1066,3097,2021,3,350
0,3631,755,3370,2021,3,200
0,1314,1086,4197,2018,2,314
1,6409,1066,275,2018,3,357
1,7073,1066,402,2021,3,413
1,6038,1066,2420,2021,1,131
0,27,2470,2926,2019,1,216
0,5349,1968,3450,2013,0,226
0,3392,2452,1951,2021,3,391
0,3998,1066,1362,2021,1,112
0,5222,620,1362,2019,1,414
0,4442,2202,1093,2010,0,275
0,3087,3561,3486,2018,3,180
1,4515,1066,4005,2012,1,255
0,1838,1066,1362,2011,3,428
0,187,3143,4143,2018,3,314
1,1910,1066,2034,2016,2,325
0,2632,1407,3587,2019,3,8
0,2607,3450,5599,2019,1,237
0,6432,139,3931,2021,3,57
0,1719,1756,440,2013,0,6
0,5360,1323,5002,2016,0,1
1,4624,1066,1362,2021,1,128
0,6560,2022,1894,2020,3,314
0,2919,1950,620,2020,3,80
1,144,1066,1559,2020,1,389
0,2700,2944,2120,2021,3,220
0,3253,94,2082,2018,3,229
0,773,3600,2124,2018,1,213
1,2684,1066,267,2019,3,348
0,3160,1669,2972,2008,3,61
0,4213,3911,2993,2021,3,368
0,4675,1396,2568,2019,0,447
0,7016,2601,3705,2016,3,447
1,3681,1066,4836,2019,3,337
0,2597,2103,4138,2018,3,30
0,819,3943,3157,2009,2,230
0,3234,1361,1420,2018,1,38
0,2574,3488,5558,2019,3,80
1,6671,1066,4347,2012,1,225
0,35,3111,257,2006,3,447
0,6329,3018,4221,2008,2,182
0,5406,3771,2223,2009,0,400
0,5538,2791,2299,2020,3,357
0,5170,3116,4173,2021,3,314
0,6798,1088,4910,2020,3,391
1,4389,1066,2502,2020,3,314
0,5158,2081,1355,2020,3,314
0,2844,2964,2968,2021,3,391
0,5970,2359,549,2019,3,150
0,1621,4241,1139,2021,1,128
0,1992,36,4060,2021,3,369
0,4509,2685,4213,2021,3,220
0,5108,169,3624,2005,0,231
0,6435,3974,5283,2006,0,373
1,3893,1066,3811,2017,2,314
0,1875,2419,515,2016,3,447
0,5926,538,4721,2018,3,0
0,2047,857,865,2011,3,244
0,2338,2839,1362,2019,1,414
1,6480,1066,3093,2021,3,314
0,5751,2357,2078,2019,3,282
0,3578,4162,1580,2016,2,275
0,2449,3100,2633,2011,0,369
0,3586,1810,1745,2012,3,314
1,123,1066,1362,2020,3,111
0,7069,1263,1876,2006,2,275
0,4238,1443,4022,2017,3,391
0,3239,3150,4215,2011,3,244
0,4320,1066,2911,2018,1,128
0,3582,1208,2239,2021,3,364
1,3624,1066,1944,2017,3,226
0,283,2196,539,2021,3,86
0,1657,4212,4616,2016,3,314
0,6163,2481,2334,2015,2,128
0,4177,1289,4209,2020,3,86
1,2912,1066,3422,2021,1,414
0,3634,2053,4448,2021,3,357
0,6724,3613,4796,2014,3,176
0,2526,1042,942,2008,0,165
0,1338,3164,4567,2017,3,229
1,970,1066,1474,2020,1,319
1,313,1066,2302,2021,2,294
0,4354,1671,851,2019,3,111
0,3953,2879,4446,2020,3,0
0,542,3305,1362,2014,3,305
0,4096,2508,367,2018,3,349
1,4854,1066,4295,2017,2,220
0,3895,2414,3585,2009,3,191
0,2447,957,2665,2005,3,391
0,5867,2733,5228,2019,3,447
0,2119,2543,2897,2019,3,66
1,1941,1066,2249,2016,2,284
0,2133,415,1362,2018,3,428
0,4927,3667,3728,2015,1,414
0,197,2470,1362,2016,1,439
1,5753,1066,1007,2016,3,314
1,4433,1066,3623,2016,3,49
0,6595,167,4576,2017,3,54
1,4038,1066,1144,2013,2,284
0,6451,3712,965,2018,3,315
0,1115,416,1362,2006,3,428
0,4026,2754,1362,2019,1,128
0,5449,4254,3669,2014,0,153
0,6300,292,3946,2007,3,305
1,6973,1066,3372,2019,0,314
0,2535,1303,1727,2019,3,274
0,5701,115,4615,2009,3,124
1,1189,1066,3456,2021,3,182
0,1210,3684,3838,2016,0,314
0,1944,397,2365,2015,3,220
0,3912,2440,3647,2021,3,220
0,454,238,1783,2018,3,61
0,284,3389,2019,2015,2,226
0,6291,3721,602,2016,0,368
0,438,1056,3551,2021,3,80
1,5348,1066,1362,2014,1,440
1,3774,1066,1655,2021,0,368
0,2940,479,5284,2009,0,334
0,3340,294,4964,2011,1,0
0,562,2664,151,2021,0,369
0,2782,1683,1362,2014,2,444
0,2704,795,1044,2011,0,391
1,6360,1066,3055,2015,3,128
0,6684,1613,1362,2021,3,391
0,763,1511,4008,2014,1,308
0,1614,355,1139,2021,1,128
0,4288,786,897,2015,0,0
0,1317,3232,2165,2012,0,49
0,63,1066,3264,2017,1,386
0,4162,2702,968,2017,3,275
0,2069,1066,1362,2021,1,116
1,4506,1066,200,2021,3,311
0,7034,3360,1041,2019,3,314
0,4168,2784,3269,2021,3,57
0,3030,26,2108,2019,3,191
0,3141,3927,4364,2006,3,278
0,3281,2084,5041,2010,3,0
0,3012,1481,475,2012,2,405
0,5710,1153,1134,2011,0,80
0,6690,4174,519,2017,0,369
0,5824,1066,4515,2017,3,275
1,2755,1066,940,2015,3,233
0,6898,4042,3898,2021,3,30
0,5915,758,1362,2010,3,305
1,2467,1066,1362,2017,2,145
0,6527,3528,4416,2014,3,391
1,4219,1066,3986,2021,3,314
0,1502,526,3139,2009,3,31
0,3088,1586,2329,2019,3,191
1,3050,1066,673,2006,1,130
0,602,3101,4165,2021,3,400
1,2106,1066,4115,2009,2,307
1,6353,1066,5048,2012,3,330
0,3200,2932,5046,2018,3,9
1,3975,1066,4053,2020,3,18
0,5011,4069,3777,2021,3,369
0,2315,3591,399,2014,3,369
0,4843,3054,869,2020,3,68
1,6994,1066,4950,2021,3,220
0,4089,3815,3070,2011,2,357
1,7144,1066,4082,2016,3,314
0,4498,1584,287,2020,3,369
1,2686,1066,5642,2019,2,6
1,6227,1066,4194,2016,0,275
1,599,1066,899,2014,2,220
0,3523,2677,3137,2020,3,233
0,4904,514,4886,2021,3,49
0,2399,2754,1362,2021,1,414
1,3967,1066,1362,2016,1,127
0,2842,2759,53,2016,3,49
0,3244,3085,5030,2021,3,447
0,1707,3618,3382,2010,2,220
0,3984,2295,1884,2014,1,414
1,4989,1066,1236,2014,2,449
0,5489,3430,1362,2017,3,301
1,2691,1066,190,2020,3,260
1,1531,1066,2147,2017,1,387
0,3416,3388,1634,2015,1,128
1,1607,1066,1362,2021,1,128
1,2969,1066,4330,2019,3,340
0,3848,1867,2523,2021,3,369
1,3972,1066,1362,2014,1,127
0,4669,991,2785,2020,3,77
0,6382,121,4785,2015,2,128
0,2102,3967,4973,2007,2,230
0,6394,2884,2336,2005,0,156
0,3795,617,1362,2020,3,305
0,1206,3263,2672,2016,3,314
0,1006,34,2081,2018,3,35
0,5389,4038,5601,2008,0,369
0,5736,1363,5171,2021,3,314
1,6632,1066,505,2018,3,337
0,3495,2073,3100,2016,3,182
1,2341,1066,4154,2019,2,117
0,4245,3632,5288,2016,1,147
0,5101,607,1146,2017,3,28
1,4127,1066,1974,2017,3,325
0,1117,2628,297,2008,2,330
0,3667,771,2538,2007,3,49
0,5029,4019,889,2021,3,220
1,621,1066,1362,2017,2,145
0,5392,2767,3959,2021,3,275
0,1681,782,1833,2007,3,349
0,4415,2168,2869,2012,3,226
0,4211,1746,3923,2005,2,276
0,189,1243,1631,2013,0,1
0,288,1323,5499,2015,3,262
0,3478,187,936,2021,3,391
1,6541,1066,1362,2018,3,337
0,5657,1420,3273,2018,3,337
0,3504,3744,4444,2014,0,275
0,5755,1866,3116,2010,2,0
0,4912,1852,364,2007,3,0
0,7197,1066,1362,2007,3,428
0,4859,593,3674,2014,3,422
1,885,1066,543,2015,2,275
0,657,3719,1572,2020,3,61
1,7213,1066,3795,2020,3,449
1,4350,1066,969,2020,3,305
0,2628,762,2390,2021,3,0
0,1650,1507,3892,2014,3,391
0,428,1386,1816,2021,3,220
0,5459,575,2814,2019,3,314
0,1190,599,1362,2016,3,275
0,6334,1360,2801,2010,2,226
0,5708,2740,2398,2008,0,391
0,5907,3886,271,2021,3,400
0,6917,3434,934,2021,3,86
1,4214,1066,1362,2015,1,418
0,1108,3815,1501,2006,0,262
0,2808,1066,1483,2016,3,305
0,5528,3117,5211,2019,3,337
0,181,134,1614,2013,3,86
1,6911,1066,5478,2012,3,18
0,3005,3928,2662,2012,0,80
0,2634,1884,1167,2011,1,90
0,3009,1805,759,2021,3,275
0,3197,2910,358,2018,3,181
0,794,832,1229,2015,0,1
1,4754,1066,1362,2014,2,449
0,4093,3637,1962,2019,2,319
0,2661,47,2497,2007,0,391
0,6700,1354,3014,2019,3,305
1,923,1066,2261,2011,1,24
1,4587,1066,2916,2021,3,15
0,515,288,3421,2021,3,314
1,6750,1066,3113,2021,3,357
0,4942,2639,3569,2016,3,265
1,6091,1066,4632,2010,3,226
0,6703,1597,530,2017,3,369
0,2432,2824,4682,2021,3,430
0,2683,1139,2983,2018,3,182
1,2867,1066,1362,2008,2,449
1,4146,1066,4937,2009,2,305
0,4808,65,4751,2008,1,339
0,4282,3799,4896,2017,3,32
0,714,4010,4064,2013,3,32
0,3831,893,1362,2020,1,128
1,3940,1066,5655,2020,2,357
0,4969,2076,3062,2017,3,314
0,5584,3286,1260,2008,1,305
0,6687,3219,798,2021,3,49
1,1596,1066,1362,2021,3,305
0,4785,159,4491,2021,3,49
0,5272,4048,4552,2017,3,369
0,272,2510,1092,2020,3,308
0,947,4254,3151,2014,3,157
0,1569,2009,876,2021,3,288
1,1366,1066,1362,2016,1,128
0,3703,3338,1299,2017,3,226
0,4011,360,1362,2019,1,128
0,7228,1037,1362,2021,3,391
0,7209,3485,4174,2021,3,55
0,2179,2656,2254,2021,3,391
0,3298,2231,4865,2015,0,13
0,3765,1553,5362,2016,3,369
0,6313,2309,1373,2019,3,314
0,6325,2241,3086,2021,3,275
0,6884,2749,4881,2017,3,86
0,5023,546,4013,2015,3,226
0,2642,2962,2587,2021,3,157
1,4724,1066,4995,2010,1,439
1,2368,1066,1362,2020,1,0
1,847,1066,652,2013,2,449
0,5218,285,3432,2021,3,400
0,2135,3218,2822,2020,3,401
1,3643,1066,423,2021,3,220
0,1981,1146,1525,2020,3,191
0,1618,354,1362,2017,1,132
0,1144,3321,4875,2021,3,334
0,2762,1312,1986,2016,3,400
0,5712,289,400,2018,3,350
0,3060,4005,3419,2014,3,6
0,178,3148,4746,2016,3,369
1,2252,1066,401,2021,3,226
1,1019,1066,1362,2020,1,414
0,5954,1819,2257,2007,3,220
0,7156,1117,5581,2016,3,191
1,6580,1066,294,2012,0,220
0,5975,2842,4029,2009,3,237
0,6324,1945,4424,2019,3,0
0,6645,2414,5278,2009,3,191
0,6303,3042,1362,2006,3,305
1,1667,1066,117,2017,3,255
0,3362,395,2741,2021,3,226
1,3869,1066,1362,2019,1,305
0,4929,1520,4324,2019,3,47
0,2070,1662,1825,2021,3,80
0,4338,772,2910,2017,0,391
0,6964,643,1793,2021,3,86
0,470,4034,981,2017,3,305
0,6352,993,1362,2018,3,275
0,3426,1327,1362,2017,3,275
1,3911,1066,3646,2019,3,449
0,2505,3631,1362,2021,3,436
0,3194,2409,5290,2019,1,305
0,5383,3871,4611,2015,3,61
0,3117,1763,2441,2018,3,191
1,6220,1066,707,2016,3,369
1,5156,1066,1772,2012,2,369
1,6464,1066,1168,2015,2,449
0,61,1066,3264,2017,1,386
0,3206,1599,5173,2021,3,346
1,6723,1066,1362,2019,1,128
0,1083,2292,2619,2020,3,128
0,3930,1889,4206,2014,2,414
1,2827,1066,2600,2019,3,87
0,3311,926,1199,2021,3,369
0,5908,698,3813,2021,3,220
0,5905,892,459,2020,3,66
0,2543,427,5123,2021,3,347
1,121,1066,1362,2019,3,449
1,1150,1066,4358,2009,2,305
0,2241,3043,1362,2021,3,220
0,5771,3333,3553,2020,3,0
0,3019,2537,3044,2021,3,391
0,1195,4023,3722,2021,3,182
0,5368,3892,3912,2018,0,220
0,3674,4213,3518,2019,2,428
1,5827,1066,536,2021,3,369
1,118,1066,1362,2019,3,449
0,1798,3615,3649,2021,3,400
1,849,1066,594,2012,1,43
0,3638,1353,112,2014,3,220
0,3945,1076,2686,2017,3,61
0,1192,1564,1442,2016,3,369
1,6654,1066,564,2019,3,449
0,5384,3400,2884,2010,0,220
0,6111,899,3782,2019,0,86
0,5895,2553,1671,2019,3,391
0,1708,3618,3382,2010,3,220
0,3039,3904,4469,2016,0,391
0,455,1219,5233,2021,3,314
0,1481,1125,2607,2005,2,314
0,5891,2372,2603,2018,3,305
0,2950,1066,1362,2019,1,30
0,6797,2650,4992,2017,3,275
0,757,2211,925,2019,3,0
0,7193,2365,2479,2018,0,369
0,5294,522,3760,2021,3,49
0,1504,3525,4662,2021,3,400
0,5478,585,4981,2018,3,191
0,4135,2887,4962,2020,3,156
0,1835,23,3007,2019,1,414
0,5276,2655,3592,2007,2,305
0,5388,727,3328,2016,3,437
0,1333,2509,1117,2021,3,233
1,6289,1066,1362,2016,3,275
0,3562,1166,1362,2021,1,129
1,6349,1066,1331,2006,3,357
0,3650,2135,1648,2006,3,350
0,2351,3463,4245,2021,3,220
0,5855,2343,4870,2021,3,32
0,364,2751,84,2013,1,408
0,4440,3458,1362,2021,3,452
0,2030,869,865,2011,3,247
0,6805,2216,2856,2021,3,0
0,19,559,3546,2019,0,13
0,5178,2599,398,2018,3,220
0,4361,2237,2717,2019,3,203
0,5765,2603,799,2021,1,73
0,4643,2546,4432,2020,2,323
0,5762,4173,2218,2020,1,18
1,1385,1066,1362,2019,3,181
0,2654,1498,1959,2021,3,182
0,109,3598,4231,2018,3,80
1,2772,1066,5615,2005,3,233
1,6558,1066,2715,2019,3,305
1,1266,1066,4434,2020,0,369
0,2920,1698,2751,2017,3,305
0,5085,1573,2425,2017,3,391
0,1517,548,1497,2020,3,61
1,774,1066,1362,2021,1,128
1,7172,1066,1362,2021,1,128
1,5600,1066,2342,2014,2,451
1,7132,1066,1362,2007,1,414
0,2710,1066,2008,2006,2,148
1,2018,1066,2930,2005,3,141
0,4253,831,4648,2016,3,447
0,195,1619,3879,2015,2,447
0,1980,3498,1519,2009,3,191
0,718,2979,5136,2011,2,363
0,3467,3573,1362,2008,3,275
0,250,3768,5012,2016,3,391
0,3756,1229,4694,2020,3,308
0,5666,2085,4183,2021,3,314
0,841,840,1132,2018,3,86
0,1516,975,5399,2020,3,226
0,1503,1127,4778,2005,3,220
1,3700,1066,601,2016,3,237
0,6104,3907,1362,2018,1,275
0,7146,2361,1362,2021,3,314
1,5017,1066,4484,2010,3,449
0,6138,3948,3161,2020,3,275
0,6508,3672,1362,2020,3,275
0,4720,1639,5595,2021,3,49
0,6076,519,438,2017,3,337
1,5939,1066,2330,2019,3,315
0,662,1066,1362,2020,1,128
0,6087,960,646,2014,3,305
0,1302,369,2216,2021,3,437
1,4819,1066,118,2019,3,18
1,285,1066,2977,2019,3,226
0,2153,1397,4853,2006,0,314
0,1391,921,1116,2019,3,220
0,471,880,1412,2021,3,226
0,7015,2866,2951,2021,3,314
0,4072,4166,5117,2018,3,400
0,4339,3039,1362,2007,1,275
0,5512,1324,4986,2008,0,89
0,5843,1655,1388,2021,3,61
1,3883,1066,1082,2012,2,322
1,6663,1066,4346,2013,2,275
1,3664,1066,3612,2021,3,306
0,2614,2144,506,2018,3,142
1,1675,1066,2153,2012,1,414
1,7120,1066,1362,2015,1,128
0,4143,1724,3738,2014,3,191
0,3409,2653,4707,2020,3,314
0,2717,2689,2355,2014,3,188
0,4710,4087,2443,2021,3,369
1,2462,1066,5346,2017,3,231
0,2927,843,826,2005,2,220
1,3522,1066,2354,2005,3,314
0,4685,2691,2385,2006,0,400
0,5020,3897,1362,2021,1,128
0,7112,1102,4256,2018,3,0
1,2980,1066,773,2021,3,231
0,708,22,1258,2021,3,436
0,1993,1927,2487,2021,3,128
1,6380,1066,4255,2021,3,443
0,6290,2278,4594,2013,3,369
1,445,1066,1362,2021,1,18
0,5417,349,3321,2020,3,314
0,6106,1850,700,2021,3,49
0,7171,2805,4900,2017,1,314
0,6449,2837,3840,2018,3,61
0,5325,3240,1956,2010,3,128
1,1487,1066,2756,2020,3,220
1,5290,1066,1591,2018,0,369
1,586,1066,4406,2014,2,305
0,1137,2470,1362,2012,1,439
0,7093,1326,1362,2015,3,305
1,115,1066,1362,2019,3,449
0,1815,1261,1774,2016,3,265
0,5809,247,4343,2016,3,314
0,2482,2839,1362,2018,1,414
0,4962,841,5343,2014,3,49
0,5707,440,5029,2014,3,249
0,3690,2326,5037,2017,3,69
1,2797,1066,2109,2020,1,128
0,5477,3742,4980,2015,3,195
0,3943,3336,4418,2018,3,283
0,2555,2174,2554,2015,3,316
0,5219,1724,4769,2013,3,191
0,520,1066,1362,2014,1,128
0,6915,668,3693,2016,1,314
1,6376,1066,5592,2020,3,233
0,24,549,3176,2021,3,391
0,6467,2327,3173,2017,3,295
0,4651,2881,4553,2013,1,314
1,939,1066,3742,2021,3,314
0,2058,1382,1379,2019,3,86
1,5422,1066,1362,2021,3,439
0,2212,1759,4906,2008,3,49
0,3395,3378,1657,2018,3,400
0,1270,620,1362,2019,1,414
0,1952,1320,5350,2014,3,275
0,4092,199,3559,2008,3,66
1,2725,1066,1362,2021,3,275
0,1611,2277,5413,2021,3,391
1,4820,1066,1362,2016,1,128
1,2238,1066,964,2021,0,422
0,6876,310,3911,2019,3,220
0,5116,3760,5294,2019,3,391
0,915,1615,1625,2014,3,0
1,635,1066,1827,2014,0,314
0,5811,1925,5277,2012,2,233
1,6230,1066,424,2016,3,220
0,1230,1062,3329,2021,3,400
0,5740,8,2737,2021,1,314
1,1972,1066,1949,2018,3,306
1,5308,1066,1362,2021,1,128
0,5054,366,4148,2016,3,30
1,4976,1066,2346,2021,3,366
0,3143,541,2622,2020,3,182
0,5662,3210,3186,2010,0,0
0,5319,2526,514,2017,1,130
0,4824,3249,689,2006,0,314
0,2865,56,1994,2019,0,334
1,4702,1066,4718,2014,2,274
0,3808,2432,5023,2020,3,418
0,993,2877,1362,2017,3,305
0,1335,3094,5489,2021,3,270
0,1962,1524,3508,2021,3,141
0,2687,3019,4864,2014,3,49
1,1077,1066,1594,2017,3,369
1,3322,1066,1791,2020,2,220
1,6924,1066,1362,2018,1,449
0,5968,852,1858,2019,3,431
1,1895,1066,209,2016,3,449
0,4730,3880,5164,2015,1,49
1,6459,1066,1362,2012,3,275
0,5075,3745,1867,2021,3,66
0,5572,590,1362,2019,3,132
1,4620,1066,1362,2021,1,128
0,2454,416,1362,2011,3,428
0,2898,3217,4286,2013,3,49
1,6073,1066,2909,2017,1,439
0,3476,1242,1433,2014,2,0
1,4877,1066,3307,2013,1,128
0,4376,3662,5158,2019,3,61
1,207,1066,2009,2011,3,262
0,2511,3074,107,2014,1,0
0,3268,330,141,2019,3,52
0,859,2470,1362,2016,1,439
0,3170,23,3007,2019,1,418
1,3983,1066,1362,2017,1,128
1,8,1066,805,2020,3,226
0,3189,3731,3226,2014,3,36
1,5972,1066,555,2015,3,314
0,1730,125,1062,2009,0,49
1,856,1066,3238,2017,0,447
0,4139,3850,3793,2020,3,226
1,5668,1066,4073,2021,3,447
0,6507,3718,3702,2012,3,317
0,1251,2030,5262,2020,0,206
1,2380,1066,3713,2017,1,443
0,5729,894,1279,2010,0,447
0,128,468,3849,2021,3,436
0,580,87,937,2015,3,369
0,6088,3407,1188,2021,3,58
0,3491,743,1362,2019,1,414
1,7233,1066,4284,2016,2,305
0,3095,2672,2337,2008,3,191
1,4183,1066,1362,2016,1,128
0,1155,4130,4918,2019,1,337
0,1071,2414,701,2010,3,191
0,6008,976,1187,2011,0,61
0,1805,3475,39,2006,3,0
0,2602,1685,3928,2021,3,32
0,1107,183,2778,2017,3,369
0,5677,601,4824,2018,1,229
0,7090,539,5552,2019,3,182
0,4327,95,2534,2021,3,314
0,5069,3409,1097,2012,2,49
0,139,2663,3818,2012,1,439
0,6607,2777,2752,2007,0,174
1,2215,1066,1362,2021,3,308
0,3172,23,3007,2019,1,414
0,5236,3084,4050,2018,3,262
0,3776,2257,3309,2013,3,191
0,6395,266,349,2020,3,369
1,3561,1066,1036,2008,2,325
0,3486,2721,3368,2017,1,310
1,3964,1066,1362,2015,1,127
0,6945,4123,4614,2016,3,412
0,2190,178,339,2021,3,226
0,2740,2470,3904,2017,1,439
0,3886,818,4041,2019,3,86
0,5832,244,618,2021,3,226
0,5125,1165,5261,2006,3,233
1,6737,1066,3844,2020,3,220
0,2405,1066,1362,2019,1,418
0,4500,3335,1965,2013,2,369
1,6112,1066,4079,2014,2,305
0,2108,3467,3224,2021,3,400
0,5745,328,1881,2020,3,314
1,3423,1066,1080,2020,3,271
0,2695,3315,3642,2019,3,244
0,81,1066,3264,2018,1,386
0,961,2664,2320,2013,0,357
0,3465,1032,603,2018,2,314
1,4572,1066,2133,2021,1,414
0,6063,1804,2416,2018,3,391
0,5730,1008,1586,2020,3,400
0,1212,2083,1764,2021,3,226
0,1777,96,1705,2021,3,314
0,2401,1066,1362,2019,1,414
1,1864,1066,4890,2020,1,255
0,7127,3944,2674,2017,2,343
1,2500,1066,1362,2021,1,128
1,2168,1066,1711,2014,3,449
1,6755,1066,1006,2019,1,414
0,1084,2292,2620,2021,3,119
0,5041,2728,4526,2016,2,428
0,2412,2268,1362,2018,3,162
1,2643,1066,2728,2018,3,449
0,6694,1975,5238,2018,3,314
0,1422,2470,1362,2017,1,429
1,1943,1066,1362,2019,3,18
0,2121,3570,3727,2013,0,275
0,540,2690,1362,2017,3,275
0,797,3923,3417,2016,3,391
0,830,438,585,2019,3,191
0,3790,886,1362,2019,1,255
1,5793,1066,738,2021,3,447
0,3038,3056,4109,2010,0,430
0,3267,2684,1113,2015,2,369
1,5283,1066,4300,2017,3,414
0,106,2056,975,2012,0,220
0,2874,1921,2543,2015,3,30
0,5723,1162,997,2014,3,231
0,5175,2788,1384,2021,3,49
0,1790,3593,3945,2021,3,62
0,3375,1982,4942,2016,3,314
0,4795,2919,640,2020,3,314
1,3762,1066,3392,2019,3,449
0,4716,761,1004,2015,2,306
0,4562,4009,1597,2010,3,369
0,3291,2754,1362,2020,1,414
1,2678,1066,777,2021,0,445
0,5593,979,4016,2014,0,7
0,2946,1468,920,2021,3,369
1,1974,1066,1362,2019,3,449
0,3697,3342,1232,2010,0,61
1,1471,1066,655,2017,2,449
0,2988,4256,5000,2005,0,86
0,3988,2488,3817,2020,3,80
1,4652,1066,1362,2011,2,275
0,3207,2679,2485,2021,3,166
1,2145,1066,2440,2006,1,414
